SKU,Main product,Name,Lu01 group,vis group,diff primary,diff sec,Produktfamilie,Category,Type
3109786,EDGE,Edge 1x6W Hvit,,,,,Edge,Ceiling- and wall luminaire,Product
3109785,EDGE,Edge 1x6W Sort,,,,,Edge,Ceiling- and wall luminaire,Product
3109788,EDGE,Edge 2x6W Hvit,,,,,Edge,Ceiling- and wall luminaire,Product
3109787,EDGE,Edge 2x6W Sort,,,,,Edge,Ceiling- and wall luminaire,Product
3109274,FIN Arm,FIN Arm HID 70W IP65 Grafitt,,,,,FIN,Spotlight and floodlight,Product
3105870,FIN Arm,FIN Arm-LED LED 54W 4000K Bi-Symmetric Grafitt,,,,,FIN,Spotlight and floodlight,Product
3109748,FLOW,Flow 20W Bi-symmetrisk 3000K Sort,,,,,Flow,Ceiling- and wall luminaire,Product
3100790,FLOW,Flow 36W Bi-Symmetrisk 3000K Sort,,,,,Flow,Ceiling- and wall luminaire,Product
3109896,FLOW,Flow Armfeste 42-48mm Sort,,,,,Flow,Ceiling- and wall luminaire,Product
3109741,FLOW,Flow Asymmetrisk 20W 3000K Hvit,,,,,Flow,Ceiling- and wall luminaire,Product
3109740,FLOW,Flow Asymmetrisk 20W 3000K Sort,,,,,Flow,Ceiling- and wall luminaire,Product
3109743,FLOW,Flow Asymmetrisk 36W 3000K Hvit,,,,,Flow,Ceiling- and wall luminaire,Product
3109742,FLOW,Flow Asymmetrisk 36W 3000K Sort,,,,,Flow,Ceiling- and wall luminaire,Product
3109892,FLOW,Flow Hjørnebrakett Sort,,,,,Flow,Ceiling- and wall luminaire,Product
3109894,FLOW,Flow Mastetopp 60mm Sort,,,,,Tube,Ceiling- and wall luminaire,Product
3109744,FLOW,Flow Symmetrisk 20W 3000K Sort,,,,,Flow,Ceiling- and wall luminaire,Product
3109746,FLOW,Flow Symmetrisk 36W 3000K Sort,,,,,Flow,Ceiling- and wall luminaire,Product
3306390,FUNK,Funk 36W 3000K Børstet Bronse,,,,,Funk,Ceiling- and wall luminaire,Product
3229431,GYRO,Gyro 8W 2700K Børstet Stål,,,,,Gyro,Downlight,Product
3229430,GYRO,Gyro 8W 2700K Matt Hvit,,,,,Gyro,Downlight,Product
3229432,GYRO,Gyro 8W 2700K Matt Sort,,,,,Gyro,Downlight,Product
3229433,GYRO,Gyro 8W 3000K Matt Hvit,,,,,Gyro,Downlight,Product
3229434,GYRO,Gyro 8W 3000K Matt Sort,,,,,Gyro,Downlight,Product
3229438,GYRO Frame 1,Gyro Frame 2700K 1 Børstet Stål,,,,,Gyro Frame,Downlight,Product
3229435,GYRO Frame 1,Gyro Frame 2700K 1 Matt Hvit,,,,,Gyro Frame,Downlight,Product
3229441,GYRO Frame 1,Gyro Frame 2700K 1 Matt Sort,,,,,Gyro Frame,Downlight,Product
3229439,GYRO Frame 2,Gyro Frame 2700K 2 Børstet Stål,,,,,Gyro Frame,Downlight,Product
3229436,GYRO Frame 2,Gyro Frame 2700K 2 Matt Hvit,,,,,Gyro Frame,Downlight,Product
3229442,GYRO Frame 2,Gyro Frame 2700K 2 Matt Sort,,,,,Gyro Frame,Downlight,Product
3229440,GYRO Frame 3,Gyro Frame 2700K 3 Børstet Stål,,,,,Gyro Frame,Downlight,Product
3229437,GYRO Frame 3,Gyro Frame 2700K 3 Matt Hvit,,,,,Gyro Frame,Downlight,Product
3229443,GYRO Frame 3,Gyro Frame 2700K 3 Matt Sort,,,,,Gyro Frame,Downlight,Product
3229313,GYRO Frame 1,Gyro Frame WarmDim 1 Børstet Stål,,,,,Gyro Frame,Downlight,Product
3229310,GYRO Frame 1,Gyro Frame WarmDim 1 Matt Hvit,,,,,Gyro Frame,Downlight,Product
3229316,GYRO Frame 1,Gyro Frame WarmDim 1 Matt Sort,,,,,Gyro Frame,Downlight,Product
3229314,GYRO Frame 2,Gyro Frame WarmDim 2 Børstet Stål,,,,,Gyro Frame,Downlight,Product
3229311,GYRO Frame 2,Gyro Frame WarmDim 2 Matt Hvit,,,,,Gyro Frame,Downlight,Product
3229317,GYRO Frame 2,Gyro Frame WarmDim 2 Matt Sort,,,,,Gyro Frame,Downlight,Product
3229315,GYRO Frame 3,Gyro Frame WarmDim 3 Børstet Stål,,,,,Gyro Frame,Downlight,Product
3229312,GYRO Frame 3,Gyro Frame WarmDim 3 Matt Hvit,,,,,Gyro Frame,Downlight,Product
3229318,GYRO Frame 3,Gyro Frame WarmDim 3 Matt Sort,,,,,Gyro Frame,Downlight,Product
3229345,GYRO Surface Round 1,Gyro Surface Round 1 2700K Matt Hvit,,,,,Gyro Surface,Downlight,Product
3229346,GYRO Surface Round 1,Gyro Surface Round 1 2700K Matt Sort,,,,,Gyro Surface,Downlight,Product
3229343,GYRO Surface Round 1,Gyro Surface Round 1 WarmDim Matt Hvit,,,,,Gyro Surface,Downlight,Product
3229344,GYRO Surface Round 1,Gyro Surface Round 1 WarmDim Matt Sort,,,,,Gyro Surface,Downlight,Product
3229380,GYRO Surface Square 1,Gyro Surface Square 1 2700K Matt Hvit,,,,,Gyro Surface,Downlight,Product
3229383,GYRO Surface Square 1,Gyro Surface Square 1 2700K Matt Sort,,,,,Gyro Surface,Downlight,Product
3229474,GYRO Surface Square 1,Gyro Surface Square 1 WarmDim Matt Hvit,,,,,Gyro Surface,Downlight,Product
3229477,GYRO Surface Square 1,Gyro Surface Square 1 WarmDim Matt Sort,,,,,Gyro Surface,Downlight,Product
3229381,GYRO Surface Square 2,Gyro Surface Square 2 2700K Matt Hvit,,,,,Gyro Surface,Downlight,Product
3229384,GYRO Surface Square 2,Gyro Surface Square 2 2700K Matt Sort,,,,,Gyro Surface,Downlight,Product
3229475,GYRO Surface Square 2,Gyro Surface Square 2 WarmDim Matt Hvit,,,,,Gyro Surface,Downlight,Product
3229478,GYRO Surface Square 2,Gyro Surface Square 2 WarmDim Matt Sort,,,,,Gyro Surface,Downlight,Product
3229382,GYRO Surface Square 3,Gyro Surface Square 3 2700K Matt Hvit,,,,,Gyro Surface,Downlight,Product
3229385,GYRO Surface Square 3,Gyro Surface Square 3 2700K Matt Sort,,,,,Gyro Surface,Downlight,Product
3229476,GYRO Surface Square 3,Gyro Surface Square 3 WarmDim Matt Hvit,,,,,Gyro Surface,Downlight,Product
3229479,GYRO Surface Square 3,Gyro Surface Square 3 WarmDim Matt Sort,,,,,Gyro Surface,Downlight,Product
3229425,GYRO,Gyro WarmDim 9W Antikk Messing,,,,,Gyro,Downlight,Product
3229421,GYRO,Gyro WarmDim 9W Børstet Stål,,,,,Gyro,Downlight,Product
3229420,GYRO,Gyro WarmDim 9W Matt Hvit,,,,,Gyro,Downlight,Product
3229422,GYRO,Gyro WarmDim 9W Matt Sort,,,,,Gyro,Downlight,Product
3109470,I-Brick 1,"I-Brick 1 4,1W LED 3000K Grafitt",,,,,I Brick,Orientation light,Product
3109471,I-Brick 1,"I-Brick 1 4,1W LED 3000K Sølv",,,,,I Brick,Orientation light,Product
3109472,I-Brick H-Ramp,"I-Brick H-Ramp 4,1W LED 3000K Grafitt",,,,,I Brick,Orientation light,Product
3109473,I-Brick H-Ramp,"I-Brick H-Ramp 4,1W LED 3000K Sølv",,,,,I Brick,Orientation light,Product
3109475,I-Brick V-Ramp,"I-Brick V-Ramp 4,6 W LED 3000K Sølv",,,,,I Brick,Orientation light,Product
3109474,I-Brick V-Ramp,"I-Brick V-Ramp 4,6W LED 3000K Grafitt",,,,,I Brick,Orientation light,Product
3229391,ISOCOB,IsoCob 9W LED 2700K Børstet stål,,,,,IsoCob,Downlight,Product
3229390,ISOCOB,IsoCob 9W LED 2700K Matt Hvit,,,,,IsoCob,Downlight,Product
3225556,JUNO COB 76,Juno COB 76 LED 8W Hvit,,,,,Juno,Downlight,Product
3225554,JUNO COB 76,Juno COB 76 LED 8W Krom,,,,,Juno,Downlight,Product
3225551,JUNO COB 76,Juno COB 76 LED 8W Matt Hvit,,,,,Juno,Downlight,Product
3225553,JUNO COB 76,Juno COB 76 LED 8W Sort Krom,,,,,Juno,Downlight,Product
3225549,Forgreningsboks,Juno COB forgreningsboks 230V,,,,,Juno,Downlight accessories,Accessories
